         9182704 function calls (8807876 primitive calls) in 16.261 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3604    0.011    0.000    0.045    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\_core\fromnumeric.py:89(_wrapreduction_any_all)
    86496    0.043    0.000    0.043    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\distance\__init__.py:62(<genexpr>)
     8171    0.026    0.000    0.041    0.000 C:\Python312\Lib\genericpath.py:133(_splitext)
   375521    0.040    0.000    0.040    0.000 {built-in method math.isnan}
     1802    0.028    0.000    0.038    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\lib\_stride_tricks_impl.py:350(_broadcast_to)
     1802    0.026    0.000    0.038    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\scipy\stats\_distn_infrastructure.py:1016(_support_mask)
    21624    0.037    0.000    0.037    0.000 C:\Python312\Lib\threading.py:124(RLock)
   168658    0.036    0.000    0.036    0.000 {method '__exit__' of '_thread.lock' objects}
     1802    0.007    0.000    0.035    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\_core\fromnumeric.py:2496(any)
    11645    0.027    0.000    0.035    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\algebra.py:1818(_vector_apply)
     8171    0.019    0.000    0.035    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1111(disable_tracing)
   105291    0.033    0.000    0.033    0.000 {method '__enter__' of '_thread.lock' objects}
   129292    0.033    0.000    0.033    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\color.py:576(space)
     5596    0.010    0.000    0.033    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\srgb\__init__.py:63(to_base)
    68933    0.032    0.000    0.032    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\cat.py:106(adapt)
    16458    0.023    0.000    0.031    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\_debug_adapter\pydevd_base_schema.py:18(_translate_id_to_dap)
     1685    0.008    0.000    0.031    0.000 C:\Python312\Lib\concurrent\futures\_base.py:81(add_result)
   161032    0.030    0.000    0.030    0.000 {method 'append' of 'list' objects}
26559/26524    0.013    0.000    0.028    0.000 C:\Python312\Lib\abc.py:121(__subclasscheck__)
    30696    0.026    0.000    0.026    0.000 {method 'put' of '_queue.SimpleQueue' objects}
   111173    0.025    0.000    0.025    0.000 {built-in method builtins.hasattr}
    49026    0.025    0.000    0.025    0.000 {built-in method sys.settrace}
    16384    0.019    0.000    0.024    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_utils.py:243(notify_about_gevent_if_needed)
     8171    0.019    0.000    0.024    0.000 C:\Python312\Lib\threading.py:1079(_stop)
     8171    0.024    0.000    0.024    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1064(get_thread_local_trace_func)
    25350    0.014    0.000    0.023    0.000 C:\Python312\Lib\threading.py:311(_acquire_restore)
     8171    0.018    0.000    0.023    0.000 C:\Python312\Lib\threading.py:1106(_delete)
     5596    0.016    0.000    0.023    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\srgb\__init__.py:9(lin_srgb)
      901    0.009    0.000    0.022    0.000 C:\Python312\Lib\concurrent\futures\_base.py:155(_create_and_install_waiters)
    10838    0.017    0.000    0.022    0.000 C:\Python312\Lib\ntpath.py:179(splitroot)
    86704    0.022    0.000    0.022    0.000 {method '__enter__' of '_thread.RLock' objects}
     2119    0.007    0.000    0.022    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\color.py:629(is_achromatic)
     1802    0.004    0.000    0.021    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\_core\fromnumeric.py:2611(all)
     1802    0.007    0.000    0.020    0.000 {method 'any' of 'numpy.generic' objects}
    29795    0.020    0.000    0.020    0.000 {method 'get_nowait' of '_queue.SimpleQueue' objects}
      901    0.010    0.000    0.020    0.000 C:\Python312\Lib\concurrent\futures\thread.py:126(__init__)
   111337    0.020    0.000    0.020    0.000 {method '__exit__' of '_thread.RLock' objects}
    63907    0.020    0.000    0.020    0.000 {built-in method builtins.min}
    24561    0.013    0.000    0.020    0.000 C:\Python312\Lib\queue.py:209(_qsize)
   103047    0.019    0.000    0.019    0.000 {built-in method math.copysign}
    25349    0.012    0.000    0.018    0.000 C:\Python312\Lib\threading.py:308(_release_save)
     1802    0.004    0.000    0.017    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\scipy\stats\_continuous_distns.py:421(_pdf)
    58683    0.017    0.000    0.017    0.000 {built-in method math.cos}
     3610    0.017    0.000    0.017    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    32710    0.017    0.000    0.017    0.000 {method 'encode' of 'str' objects}
     2424    0.014    0.000    0.017    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\gamut\__init__.py:45(verify)
    16550    0.010    0.000    0.017    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_constants.py:439(__enter__)
     2774    0.004    0.000    0.016    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\lch\__init__.py:70(from_base)
     1174    0.010    0.000    0.016    0.000 C:\Python312\Lib\ntpath.py:236(split)
    16394    0.012    0.000    0.016    0.000 C:\Python312\Lib\threading.py:1483(current_thread)
      914    0.002    0.000    0.016    0.000 C:\Python312\Lib\ntpath.py:268(basename)
   123252    0.015    0.000    0.015    0.000 {built-in method builtins.abs}
     8171    0.015    0.000    0.015    0.000 {built-in method _thread._set_sentinel}
    68057    0.015    0.000    0.015    0.000 {built-in method math.sqrt}
26559/26524    0.015    0.000    0.015    0.000 {built-in method _abc._abc_subclasscheck}
   107664    0.015    0.000    0.015    0.000 {built-in method math.radians}
    16358    0.009    0.000    0.014    0.000 C:\Python312\Lib\queue.py:213(_put)
    26475    0.010    0.000    0.014    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\color.py:333(_is_color)
     1802    0.002    0.000    0.013    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\_core\_methods.py:59(_any)
    16352    0.009    0.000    0.013    0.000 C:\Python312\Lib\queue.py:217(_get)
     1802    0.013    0.000    0.013    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\scipy\stats\_continuous_distns.py:360(_norm_pdf)
    16342    0.013    0.000    0.013    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\_debug_adapter\pydevd_schema.py:1154(__init__)
     8171    0.009    0.000    0.013    0.000 C:\Python312\Lib\_weakrefset.py:85(add)
